Question,Fine-tuned Answer
What is the difference between External Route Reflector and Internal Route Reflector?,"The External Route Reflector is used in Multi-Pod MP-BGP (VPNv4, eVPN) configurations, while the Internal Route Reflector is used for internal MP-BGP (VPNv4) configurations. This indicates different settings and functionalities for each."
What is the purpose of advertising internal routes to external devices?,Advertising internal routes to external devices allows external devices to have reachability to servers connected to ACI by promoting BD subnets from the tenant's network to the outside world via L3Outs.
How do you advertise internal routes (BD subnets) in ACI?,"Internal routes can be advertised using a contract between an EPG and the associated L3Out. The BD subnet is installed on border leaf switches, followed by redistribution through a route-map rule to promote the BD subnet via the iBGP protocol."
What is the purpose of Export Route Control Subnet scope in L3Out?,"Export Route Control Subnet scope allows external routes to be advertised from one L3Out to another L3Out for Transit Routing, enabling communication between two L3Outs instead of a normal EPG."
How does Export Route Control Subnet scope work?,"Export Route Control Subnet scope creates a route-map rule on border leaf switches to redistribute the configured subnet (10.0.0.0/8) from other L3Outs into the routing protocol for this L3Out, using an IP prefix-list."
What is the requirement for Export Route Control Subnet scope?,"The subnet with ""Export Route Control Subnet"" scope needs to be exactly the same as what is in the routing protocol database. This prevents unnecessary advertising of subnets and ensures accurate route redistribution."
"Can you explain why an external route with ""Export Route Control Subnet"" scope should not be configured on a learning L3Out?","If an external route with ""Export Route Control Subnet"" scope is configured on a learning L3Out, it would mean the L3Out tries to advertise the route back to its learning source. This could potentially cause a loop in routing."
What is the purpose of External Subnets for External EPG scope?,"External Subnets for External EPG scope should be configured on the L3Out that is learning the route, allowing it to advertise external subnets without causing a potential loop in routing."
How do you configure External Subnets for External EPG scope?,"This scope should be configured on the L3Out that is learning the route. If configured elsewhere, it could lead to unnecessary advertising of routes and potential loops in routing."
What happens if two L3Outs use the same routing protocol on the same border leaf?,"In this case, other methods than redistribution are used for route promotion between the two L3Outs, as direct redistribution is not applicable."
Can you explain what IP prefix-list is used for in Export Route Control Subnet scope?,"The IP prefix-list is used to ensure that only specific subnets (e.g., 10.0.0.0/8) are exported and redistributed from one L3Out to another, preventing unnecessary advertising of other routes."
What should be considered when configuring Export Route Control Subnet scope?,"Aggregation/summarization options for the subnet with ""Export Route Control Subnet"" scope can be explored in more detail, but it's recommended to consult specific sections or documents for detailed information."
Can you explain why using a contract between an EPG and L3Out is necessary for internal route advertisement?,Using a contract enables the proper installation of BD subnets on border leaf switches and ensures that redistribution through a route-map rule promotes these subnets via the iBGP protocol.
How does Cisco ACI classify external routes to apply a contract?,"External routes are classified based on prefix matching using the ""External Subnets for the External EPG"" scope on an L3Out subnet."
"What is the difference between the ""External Subnets for the External EPG"" scope and the ""Export Route Control Subnet"" scope in Cisco ACI?","The ""External Subnets for the External EPG"" scope does not impact the routing table, whereas the ""Export Route Control Subnet"" scope affects the routing table by using IP prefix-lists."
